id_number,name,name_english,slug,type,country_code,poster_path,total_episodes,latest_episode_sub,latest_episode_dub,airing_status,aired_from,runtime,rating_type,has_sub,has_dub,mal_score,genres,id
17520,Santa Company: Manatsu no Merry Christmas,SANTA COMPANY ~Midsummer Merry Christmas~,santa-company-midsummer-merry-christmas,Movie,jp,25/3f/253fed8c3168f1ce60ccd797784e8bec/253fed8c3168f1ce60ccd797784e8bec.jpg,1.0,1.0,0,1,"Jan 28, 2021",26.0,PG-13,1,0,,Fantasy,9ddHsZ
17523,RPG Fudousan,RPG Real Estate,rpg-real-estate,TV,jp,59/6e/596e6335723ba1d467d8930a845cfd04/596e6335723ba1d467d8930a845cfd04.jpg,12.0,12.0,0,1,"Apr 6, 2022",23.0,PG-13,1,0,,"Comedy,Fantasy,Slice of Life",ifT2HT
17522,"Tantei wa Mou, Shindeiru.",The Detective Is Already Dead,the-detective-is-already-dead,TV,jp,25/5d/255ddb1ec7ea04cb92c78d0ce93414c6/255ddb1ec7ea04cb92c78d0ce93414c6.jpg,12.0,12.0,12,1,"Jul 1, 2021",23.0,PG-13,1,1,,"Comedy,Mystery,Drama,Romance",TZPa4a
17525,Mahouka Koukou no Rettousei: Tsuioku-hen,Mahouka Koukou no Rettousei: Tsuioku-hen,mahouka-koukou-no-rettousei-tsuioku-hen,Special,jp,9e/e7/9ee772429c2d48014ab9b24c5c7bbf51/9ee772429c2d48014ab9b24c5c7bbf51.jpg,1.0,1.0,0,1,?,60.0,PG-13,1,0,,"Magic,Sci-Fi,Supernatural",vek3vA
17538,Cardfight!! Vanguard: overDress Season 2,Cardfight!! Vanguard: overDress Season 2,cardfight-vanguard-overdress-season-2,TV,jp,e9/7e/e97e65dc2676884248938ac7e4f85d6f/e97e65dc2676884248938ac7e4f85d6f.jpg,13.0,13.0,13,1,"Oct 5, 2021",24.0,PG-13,1,1,,"Action,Adventure,Game",fbreFS
17556,Koukaku Kidoutai: SAC_2045 2nd Season,Koukaku Kidoutai: SAC_2045 2nd Season,koukaku-kidoutai-sac-2045-2nd-season,ONA,jp,42/49/4249a77601eee2efa75766cbc6259323/4249a77601eee2efa75766cbc6259323.jpg,12.0,12.0,12,1,"May 23, 2022",25.0,R,1,1,,"Action,Mecha,Sci-Fi,Military,Police,Seinen",M2xqe1
17562,Metal Fury Beyblade,Beyblade Metal Fury,beyblade-metal-fury,TV,jp,6a/e6/6ae6a467782c222cb5b7fc6f7e1d6928/6ae6a467782c222cb5b7fc6f7e1d6928.jpg,39.0,39.0,39,1,"Mar 4, 2011",20.0,,0,1,,Action,BjNVlH
17583,Lengxue Kuang Yan,L.O.R.D: Legend of Ravaging Dynasties 2 - Coldblood Feast,lord-legend-of-ravaging-dynasties-2-coldblood-feast,ONA,cn,c3/d8/c3d8293aa0e51218a874bc1a0d6fe7c5/c3d8293aa0e51218a874bc1a0d6fe7c5.jpg,1.0,1.0,0,1,"Dec 4, 2020",129.0,R,1,0,,"Action,Fantasy,Magic",IXiWYh
17592,Gundam: G no Reconguista Movie III - Uchuu kara no Isan,Gundam: G no Reconguista Movie III - Uchuu kara no Isan,gundam-g-no-reconguista-movie-iii-uchuu-kara-no-isan,Movie,jp,d8/b0/d8b01e436ee131bd41c4e23e8a2e0b6f/d8b01e436ee131bd41c4e23e8a2e0b6f.jpg,1.0,1.0,0,1,"Jul 22, 2021",104.0,PG-13,1,0,,"Action,Mecha,Sci-Fi,Space",o24tDg
17608,Zhu Tian Ji,Thousands of worlds,thousands-of-worlds,ONA,cn,eb/f5/ebf555409ca3ff992b9e29dd107b3f5b/ebf555409ca3ff992b9e29dd107b3f5b.jpg,26.0,26.0,0,1,"Jan 28, 2019",14.0,PG-13,1,0,,"Action,Adventure,Fantasy",RKgm3c
17624,Fei Ren Zai 4th Season,Fei Ren Zai 4th Season,fei-ren-zai-4th-season,ONA,jp,6f/fb/6ffbe17f4d9ec351920af32a0cda3667/6ffbe17f4d9ec351920af32a0cda3667.jpg,8.0,8.0,0,1,"Feb 3, 2021",5.0,,1,0,,"Comedy,Slice of Life,Supernatural",9aNvUZ
17632,Ling Long: Incarnation Final Chapter,Ling Long: Incarnation Final Chapter,ling-long-incarnation-final-chapter,ONA,cn,00/98/0098eed530d9bbdf7a97ee1368e5ef61/0098eed530d9bbdf7a97ee1368e5ef61.jpg,2.0,2.0,0,1,"May 1, 2021",38.0,R,1,0,,"Action,Demons,Drama,Horror,Sci-Fi,Thriller",aMnnF9
17633,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,mushoku-tensei-jobless-reincarnation-part-2,TV,jp,3c/be/3cbe09489cbc6666bc9fb6f221a3b8c5/3cbe09489cbc6666bc9fb6f221a3b8c5.jpg,12.0,12.0,12,1,"Oct 4, 2021",24.0,R,1,1,,"Drama,Ecchi,Fantasy,Magic",IYtINT
